"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
51;"R502,R307";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"2.7K";;;
52;"R460";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"200R";;;
53;"R457,R455,R453";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"300R";;;
54;"R452,R451,R450";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"75R";;;
55;"R409";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"150R";;;
56;"R408,R406,R401";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"4.7R 0.5W";;;
57;"R405";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0.47R 0.5W";;;
58;"R336,R326";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"470K";;;
59;"R335,R325";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"390R";;;
60;"R331,R321";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"360R";;;
61;"R309";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1R 0.5W";;;
62;"R302,R301";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10R";;;
63;"R114,R112,R111";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"68";;;
64;"R113,R107,R106,R105,R104,R103";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"47";;;
65;"R102,R101";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"27";;;
66;"Q711,Q501";"SOT-23-3";2;"MMBT3904-TP";;;
67;"Q503,Q502,Q301";"SOT-23-3";3;"MMBT3906-TP";;;
68;"Q331,Q321";"PMBF4391";2;"PMBF4391";;;
69;"P9";"PinHeader_2x28_P2.54mm_Vertical(Mirror)";1;"Conn_02x28_Odd_Even";;;
70;"P1";"86 pin edge connector";1;"EDGE86";;;
71;"MT7,MT6,MT5,MT4,MT2,MT1";"MountingHole_4mm_Pad_Via";6;"MountingHole_Pad";;;
72;"LF1";"Amiga Line Filter";1;"AmigaLineFilter";;;
73;"L450";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"68uH";;;
74;"JP450,JP199,JP98,JP10.2,JP10.1,JP1";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";6;"SolderJumper_2_Bridged";;;
75;"JP99.1,JP99.2,JP8,JP7.2,JP7.1,JP4.2,JP4.1";"SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels";7;"SolderJumper_3_Bridged12";;;
76;"JP11";"SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels";1;"SolderJumper_3_Bridged1-2";;;
77;"JP9";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"SolderJumper_2_Open";;;
78;"JP3.1,JP3.2";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";2;"Jumper_2_Bridged";;;
79;"JP2";"SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels";1;"SolderJumper_3_Bridged12_2";;;
80;"FB802,E435";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"FB";;;
81;"FB704,FB703,FB702,FB602,FB601,E498,E433,E432,E431,E407,E406.1,E406.2,E405,E404,E403,E402,E110,E101";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";18;"FB200R";;;
82;"FB102";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"150R@100MHz";;;
83;"FB101";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"68R@100MHz";;;
84;"E794,E793,E792,E791";"C_0805_2012Metric";4;"47 pF";;;
85;"E666";"C_0805_2012Metric";1;"22 pF";;;
86;"E632,E631";"C_0805_2012Metric";2;"100 pF";;;
87;"E503,E502,E501";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"47R 0.5W";;;
88;"E306,E305";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"270 pF";;;
89;"E109,E108,E107,E106,E103,E102,C403";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"47 pF";;;
90;"D501";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N914";;;
91;"CN45,CN15";"HDRV4W69P0X250_1X4_1000X500X1040P";2;"Conn_01x04";;;
92;"CN14,CN12";"TE_2-171825-4";2;"2-171825-4";;;
93;"CN13";"PinHeader_1x08_P2.54mm_Vertical";1;"1x8HEADER";;;
94;"CN11";"PinHeader_2x17_P2.54mm_Vertical";1;"2x17";;;
95;"CN10";"PJRAN1X1U03AUX";1;"PJRAN1X1U03AUX(YELLOW)";;;
96;"CN9";"DSUB-23_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"DB23";;;
97;"CN8";"A500 Power";1;"SQ&RNDDIN";;;
98;"CN7";"D25S33E4PA00LF";1;"DB25S";;;
99;"CN6";"D25P13B4PA00LF";1;"DB25P";;;
100;"CN5";"DSUB-23_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"DB23_Female_MountingHoles";;;
101;"CN4";"PJRAN1X1U03AUX";1;"PJRAN1X1U02AUX(WHITE)";;;
102;"CN3";"PJRAN1X1U03AUX";1;"PJRAN1X1U03AUX(RED)";;;
103;"CN2,CN1";"D09P13B4PA00LF";2;"DB9-M";;;
104;"CE704,CE703,CE702,CE602,CE601,CE531,CE501,CE498,CE407,CE405,CE404,CE403,CE402,CE110,CE101,C803,C802,C801,C800,C713,C701,C308,C39,C37,C36,C35,C34,C33,C33.1,C32,C15,C12,C10,C8,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";35;"0.01 uF";;;
105;"CE626,CE625,CE624,CE623,CE622,CE621,CE620,CE619,CE618,CE617,CE616,CE615,CE614,CE613,CE612,CE611,CE538,CE537,CE536,CE535,CE534,CE533,CE532,CE525,CE524,CE523,CE522,CE521,CE519,CE518,CE517,CE516,CE515,CE514,CE513,CE512,CE511,CE499,CE434,CE433,CE432,CE431,CE403.4,CE403.3,CE403.1,CE402.4,CE402.3,CE402.2,CE402.5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";49;"100 pF";;;
106;"CE444,CE443,CE442,CE441,C423,C422,C421,C413,C412,C411";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";10;"470 pF";;;
